Aidan Carey,,,tval,xdrag,ydrag,ydrag ratio
,,,2.64,1291.362456,318.8721813,1.000619358
,,,2.65,1296.218972,318.6748075,1.000652902
,,,2.66,1301.075231,318.4668797,1.000686511
,,,2.67,1305.931233,318.2483987,1.000720188
,,,2.68,1310.786979,318.0193649,1.000753937
,,,2.69,1315.642468,317.779779,1.000787761
,,,2.7,1320.4977,317.5296413,1.000821665
,,,2.71,1325.352676,317.2689527,1.00085565
,,,2.72,1330.207395,316.9977135,1.000889722
,,,2.73,1335.061857,316.7159243,1.000923884
,,,2.74,1339.916062,316.4235857,1.000958139
,,,2.75,1344.770011,316.1206983,1.00099249
,,,2.76,1349.623703,315.8072626,1.001026943
,,,2.77,1354.477138,315.4832792,1.001061501
,,,2.78,1359.330316,315.1487486,1.001096166
,,,2.79,1364.183238,314.8036714,1.001130944
,,,2.8,1369.035902,314.4480482,1.001165838
,,,2.81,1373.88831,314.0818794,1.001200853
,,,2.82,1378.740461,313.7051658,1.001235991
,,,2.83,1383.592356,313.3179078,1.001271257
,,,2.84,1388.443993,312.920106,1.001306655
,,,2.85,1393.295374,312.5117609,1.001342189
,,,2.86,1398.146497,312.0928732,1.001377864
,,,2.87,1402.997364,311.6634433,1.001413683
,,,2.88,1407.847974,311.2234719,1.001449651
,,,2.89,1412.698327,310.7729595,1.001485772
,,,2.9,1417.548423,310.3119066,1.001522051
,,,2.91,1422.398262,309.8403139,1.001558491
,,,2.92,1427.247844,309.3581819,1.001595098
,,,2.93,1432.097168,308.8655111,1.001631876
,,,2.94,1436.946236,308.3623021,1.001668829
,,,2.95,1441.795047,307.8485555,1.001705962
,,,2.96,1446.6436,307.3242718,1.001743281
,,,2.97,1451.491897,306.7894517,1.001780789
,,,2.98,1456.339936,306.2440956,1.001818492
,,,2.99,1461.187718,305.6882041,1.001856394
,,,3,1466.035242,305.1217779,1.001894501
,,,3.01,1470.882509,304.5448174,1.001932818
,,,3.02,1475.729519,303.9573232,1.00197135
,,,3.03,1480.576272,303.359296,1.002010102
,,,3.04,1485.422767,302.7507361,1.00204908
,,,3.05,1490.269004,302.1316444,1.002088288
,,,3.06,1495.114985,301.5020212,1.002127734
,,,3.07,1499.960707,300.8618671,1.002167422
,,,3.08,1504.806172,300.2111828,1.002207358
,,,3.09,1509.651379,299.5499688,1.002247548
,,,3.1,1514.496329,298.8782256,1.002287998
,,,3.11,1519.341021,298.1959539,1.002328714
,,,3.12,1524.185455,297.5031542,1.002369702
,,,3.13,1529.029631,296.7998271,1.002410969
,,,3.14,1533.873549,296.085973,1.00245252
,,,3.15,1538.717209,295.3615927,1.002494363
,,,3.16,1543.560612,294.6266867,1.002536505
,,,3.17,1548.403756,293.8812556,1.002578951
,,,3.18,1553.246642,293.1252998,1.002621709
,,,3.19,1558.08927,292.3588201,1.002664786
,,,3.2,1562.93164,291.5818169,1.002708189
,,,3.21,1567.773751,290.7942908,1.002751926
