X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,8.02E-03,1.00E-06
411,2.72E+00,9.60E-02,,
412,2.72E+00,1.02E-01,,
413,2.66E+00,9.44E-02,,
414,2.68E+00,1.01E-01,,
415,2.66E+00,9.36E-02,,
416,2.66E+00,1.05E-01,,
417,2.68E+00,8.24E-02,,
418,2.68E+00,9.84E-02,,
419,2.62E+00,8.88E-02,,
420,2.66E+00,8.96E-02,,
421,2.62E+00,9.68E-02,,
422,2.66E+00,9.60E-02,,
423,2.62E+00,8.48E-02,,
424,2.66E+00,8.32E-02,,
425,2.60E+00,9.92E-02,,
426,2.62E+00,8.56E-02,,
427,2.60E+00,9.36E-02,,
428,2.62E+00,9.12E-02,,
429,2.56E+00,8.48E-02,,
430,2.60E+00,9.12E-02,,
431,2.56E+00,8.24E-02,,
432,2.60E+00,9.36E-02,,
433,2.56E+00,7.12E-02,,
434,2.60E+00,8.72E-02,,
435,2.54E+00,8.00E-02,,
436,2.56E+00,8.88E-02,,
437,2.54E+00,7.60E-02,,
438,2.56E+00,7.20E-02,,
439,2.54E+00,8.96E-02,,
440,2.56E+00,7.12E-02,,
441,2.50E+00,9.12E-02,,
442,2.54E+00,8.24E-02,,
443,2.50E+00,7.52E-02,,
444,2.54E+00,8.08E-02,,
445,2.46E+00,7.36E-02,,
446,2.50E+00,8.08E-02,,
447,2.46E+00,7.20E-02,,
448,2.46E+00,8.48E-02,,
449,2.50E+00,6.24E-02,,
450,2.50E+00,7.76E-02,,
451,2.44E+00,6.96E-02,,
452,2.46E+00,7.76E-02,,
453,2.44E+00,6.88E-02,,
454,2.46E+00,8.00E-02,,
455,2.40E+00,6.24E-02,,
456,2.40E+00,6.40E-02,,
457,2.46E+00,8.08E-02,,
458,2.40E+00,7.36E-02,,
459,2.44E+00,6.48E-02,,
460,2.44E+00,7.20E-02,,
461,2.38E+00,6.40E-02,,
462,2.40E+00,7.36E-02,,
463,2.38E+00,5.36E-02,,
464,2.38E+00,6.96E-02,,
465,2.40E+00,5.84E-02,,
466,2.40E+00,6.88E-02,,
467,2.34E+00,6.00E-02,,
468,2.38E+00,6.72E-02,,
469,2.34E+00,5.84E-02,,
470,2.38E+00,5.60E-02,,
471,2.34E+00,6.88E-02,,
472,2.38E+00,6.96E-02,,
473,2.30E+00,5.28E-02,,
474,2.34E+00,6.40E-02,,
475,2.30E+00,5.52E-02,,
476,2.34E+00,6.24E-02,,
477,2.28E+00,5.52E-02,,
478,2.30E+00,6.16E-02,,
479,2.28E+00,5.28E-02,,
480,2.30E+00,6.48E-02,,
481,2.28E+00,4.40E-02,,
482,2.30E+00,5.84E-02,,
483,2.24E+00,5.12E-02,,
484,2.28E+00,6.16E-02,,
485,2.24E+00,4.48E-02,,
486,2.24E+00,5.76E-02,,
487,2.28E+00,4.88E-02,,
488,2.28E+00,6.16E-02,,
489,2.22E+00,4.24E-02,,
490,2.24E+00,5.52E-02,,
491,2.22E+00,4.80E-02,,
492,2.24E+00,5.36E-02,,
493,2.18E+00,4.64E-02,,
494,2.22E+00,5.28E-02,,
495,2.18E+00,4.24E-02,,
496,2.22E+00,5.52E-02,,
497,2.18E+00,3.68E-02,,
498,2.22E+00,5.12E-02,,
499,2.16E+00,4.40E-02,,
500,2.18E+00,5.36E-02,,
501,2.16E+00,3.76E-02,,
502,2.18E+00,4.16E-02,,
503,2.12E+00,4.88E-02,,
504,2.18E+00,5.36E-02,,
505,2.12E+00,3.52E-02,,
506,2.12E+00,4.80E-02,,
507,2.16E+00,3.92E-02,,
508,2.16E+00,4.64E-02,,
509,2.08E+00,3.76E-02,,
510,2.08E+00,5.04E-02,,
511,2.16E+00,2.64E-02,,
512,2.08E+00,4.40E-02,,
513,2.12E+00,3.52E-02,,
514,2.12E+00,4.40E-02,,
515,2.06E+00,3.52E-02,,
516,2.08E+00,4.64E-02,,
517,2.06E+00,3.04E-02,,
518,2.08E+00,4.16E-02,,
519,2.02E+00,3.28E-02,,
520,2.08E+00,4.64E-02,,
521,2.02E+00,2.88E-02,,
522,2.06E+00,4.00E-02,,
523,2.02E+00,3.12E-02,,
524,2.02E+00,3.92E-02,,
525,2.06E+00,3.04E-02,,
526,2.02E+00,4.16E-02,,
527,2.00E+00,1.92E-02,,
528,2.02E+00,3.92E-02,,
529,2.00E+00,2.80E-02,,
530,2.02E+00,3.68E-02,,
531,1.96E+00,2.80E-02,,
532,2.00E+00,4.00E-02,,
533,1.96E+00,2.16E-02,,
534,2.00E+00,2.64E-02,,
535,1.94E+00,3.52E-02,,
536,1.94E+00,2.40E-02,,
537,2.00E+00,3.92E-02,,
538,1.94E+00,3.44E-02,,
539,1.96E+00,2.40E-02,,
540,1.96E+00,3.28E-02,,
541,1.90E+00,2.40E-02,,
542,1.94E+00,3.44E-02,,
543,1.90E+00,1.44E-02,,
544,1.90E+00,2.32E-02,,
545,1.94E+00,3.12E-02,,
546,1.94E+00,1.92E-02,,
547,1.86E+00,3.28E-02,,
548,1.90E+00,2.88E-02,,
549,1.86E+00,2.08E-02,,
550,1.86E+00,2.88E-02,,
551,1.90E+00,2.08E-02,,
552,1.90E+00,1.52E-02,,
553,1.84E+00,3.28E-02,,
554,1.84E+00,2.64E-02,,
555,1.86E+00,1.92E-02,,
556,1.86E+00,2.64E-02,,
557,1.80E+00,1.76E-02,,
558,1.80E+00,2.88E-02,,
559,1.86E+00,7.20E-03,,
560,1.80E+00,2.56E-02,,
561,1.84E+00,1.68E-02,,
562,1.84E+00,1.52E-02,,
563,1.78E+00,2.56E-02,,
564,1.80E+00,2.40E-02,,
565,1.78E+00,1.44E-02,,
566,1.78E+00,2.32E-02,,
567,1.80E+00,1.44E-02,,
568,1.80E+00,1.04E-02,,
569,1.74E+00,2.80E-02,,
570,1.78E+00,2.16E-02,,
571,1.74E+00,1.28E-02,,
572,1.78E+00,2.16E-02,,
573,1.70E+00,1.28E-02,,
574,1.78E+00,2.40E-02,,
575,1.70E+00,8.00E-04,,
576,1.70E+00,1.04E-02,,
577,1.74E+00,2.32E-02,,
578,1.74E+00,5.60E-03,,
579,1.68E+00,2.56E-02,,
580,1.74E+00,1.92E-02,,
581,1.68E+00,9.60E-03,,
582,1.70E+00,9.60E-03,,
583,1.64E+00,1.92E-02,,
584,1.70E+00,2.32E-02,,
585,1.64E+00,8.00E-03,,
586,1.64E+00,1.76E-02,,
587,1.68E+00,8.00E-03,,
588,1.68E+00,1.76E-02,,
589,1.62E+00,7.20E-03,,
590,1.62E+00,1.92E-02,,
591,1.68E+00,-8.00E-04,,
592,1.62E+00,7.20E-03,,
593,1.64E+00,1.68E-02,,
594,1.64E+00,2.08E-02,,
595,1.58E+00,3.20E-03,,
596,1.62E+00,1.52E-02,,
597,1.58E+00,7.20E-03,,
598,1.62E+00,4.00E-03,,
599,1.56E+00,1.68E-02,,
600,1.56E+00,8.00E-04,,
601,1.62E+00,2.08E-02,,
602,1.58E+00,5.60E-03,,
603,1.56E+00,1.44E-02,,
604,1.58E+00,1.28E-02,,
605,1.52E+00,4.00E-03,,
606,1.56E+00,1.92E-02,,
607,1.52E+00,-4.00E-03,,
608,1.56E+00,1.92E-02,,
609,1.52E+00,-3.20E-03,,
610,1.56E+00,1.28E-02,,
611,1.48E+00,3.20E-03,,
612,1.52E+00,3.20E-03,,
613,1.48E+00,1.28E-02,,
614,1.52E+00,1.20E-02,,
615,1.46E+00,1.60E-03,,
616,1.46E+00,1.68E-02,,
617,1.52E+00,-4.00E-03,,
618,1.46E+00,8.00E-04,,
619,1.48E+00,1.28E-02,,
620,1.48E+00,1.20E-02,,
621,1.42E+00,8.00E-04,,
622,1.42E+00,1.20E-02,,
623,1.46E+00,-5.60E-03,,
624,1.46E+00,-4.00E-03,,
625,1.40E+00,1.44E-02,,
626,1.46E+00,8.00E-04,,
627,1.40E+00,1.04E-02,,
628,1.42E+00,-1.60E-03,,
629,1.40E+00,1.20E-02,,
630,1.42E+00,8.00E-04,,
631,1.36E+00,1.04E-02,,
632,1.36E+00,1.68E-02,,
633,1.42E+00,-5.60E-03,,
634,1.40E+00,9.60E-03,,
635,1.36E+00,-8.00E-04,,
636,1.40E+00,9.60E-03,,
637,1.34E+00,-8.00E-04,,
638,1.34E+00,9.60E-03,,
639,1.40E+00,-6.40E-03,,
640,1.36E+00,-3.20E-03,,
641,1.30E+00,1.04E-02,,
642,1.36E+00,8.00E-03,,
643,1.30E+00,-8.00E-04,,
644,1.34E+00,-8.00E-04,,
645,1.30E+00,8.00E-03,,
646,1.30E+00,9.60E-03,,
647,1.34E+00,-1.60E-03,,
648,1.34E+00,-3.20E-03,,
649,1.26E+00,1.28E-02,,
650,1.26E+00,7.20E-03,,
651,1.30E+00,-8.00E-04,,
652,1.30E+00,7.20E-03,,
653,1.24E+00,-1.60E-03,,
654,1.24E+00,1.20E-02,,
655,1.30E+00,-1.20E-02,,
656,1.24E+00,8.00E-03,,
657,1.26E+00,-3.20E-03,,
658,1.26E+00,-3.20E-03,,
659,1.20E+00,8.00E-03,,
660,1.24E+00,7.20E-03,,
661,1.20E+00,-1.60E-03,,
662,1.24E+00,9.60E-03,,
663,1.18E+00,-4.00E-03,,
664,1.24E+00,1.20E-02,,
665,1.18E+00,-5.60E-03,,
666,1.20E+00,7.20E-03,,
667,1.18E+00,-3.20E-03,,
668,1.20E+00,8.00E-03,,
669,1.14E+00,-4.00E-03,,
670,1.14E+00,-1.28E-02,,
671,1.20E+00,1.20E-02,,
672,1.18E+00,-1.60E-03,,
673,1.14E+00,7.20E-03,,
674,1.18E+00,7.20E-03,,
675,1.10E+00,-3.20E-03,,
676,1.10E+00,-3.20E-03,,
677,1.18E+00,9.60E-03,,
678,1.14E+00,1.04E-02,,
679,1.08E+00,-5.60E-03,,
680,1.14E+00,1.04E-02,,
681,1.08E+00,-4.00E-03,,
682,1.08E+00,7.20E-03,,
683,1.10E+00,-3.20E-03,,
684,1.10E+00,7.20E-03,,
685,1.04E+00,-3.20E-03,,
686,1.10E+00,1.04E-02,,
687,1.04E+00,-8.00E-03,,
688,1.08E+00,7.20E-03,,
689,1.04E+00,-3.20E-03,,
690,1.08E+00,7.20E-03,,
691,1.02E+00,-3.20E-03,,
692,1.02E+00,7.20E-03,,
693,1.08E+00,-3.20E-03,,
694,1.04E+00,1.20E-02,,
695,9.80E-01,-4.00E-03,,
696,1.04E+00,7.20E-03,,
697,9.80E-01,-3.20E-03,,
698,9.80E-01,-1.60E-03,,
699,1.02E+00,7.20E-03,,
700,1.02E+00,7.20E-03,,
701,9.60E-01,-3.20E-03,,
702,9.60E-01,1.04E-02,,
